ESOW_APP:Västerås Approach:125.955:OWA::ESOW:APP:
ESOW_TWR:Västerås Tower:130.605:OW::ESOW:TWR:
ESPA_APP:Kallax Approach:125.450:PAA::ESPA:APP:
ESPA_F_APP:Kallax Approach:130.800:PAF:F:ESPA:APP:
ESPA_P_APP:Kallax Precision:119.000:PAP:P:ESPA:APP:
ESPA_TWR:Kallax Tower:128.200:PA::ESPA:TWR:
ESPE_APP:Vidsel Approach:124.150:PEA::ESPE:APP:
ESPE_P_APP:Vidsel Precision:135.400:PEP:P:ESPE:APP:
ESPE_TWR:Vidsel Tower:130.400:PE::ESPE:TWR:
ESPF_CTR:Cobra:129.450:CBRA::ESPF:CTR:
ESSA_A_APP:Stockholm Arrival:120.505:A:A:ESSA:APP:
ESSA_DEL:Arlanda Clearance Delivery:121.830:SAD::ESSA:DEL:
ESSA_E_APP:Stockholm Approach:126.655:E:E:ESSA:APP:
ESSA_E_DEP:Stockholm Departure:130.330:DE:E:ESSA:DEP:::6001:6025
ESSA_E_GND:Arlanda Ground:121.980:AGE:E:ESSA:GND:
ESSA_E_TWR:Arlanda Tower:128.730:TE:E:ESSA:TWR:
ESSA_F_APP:Stockholm Arrival:119.630:AW:F:ESSA:APP:
ESSA_N_GND:Arlanda Ground:121.930:AGN:N:ESSA:GND:
ESSA_S_TWR:Arlanda Tower:125.130:TS:S:ESSA:TWR:
ESSA_W_APP:Stockholm Approach:123.755:W:W:ESSA:APP:
ESSA_W_DEP:Stockholm Departure:124.105:DW:W:ESSA:DEP:::6001:6025:N059.42.01.360:E018.01.20.260:N059.53.56.590:E017.34.46.530:N058.50.50.590:E015.00.37.360:N057.39.41.050:E018.22.15.170
ESSA_W_GND:Arlanda Ground:121.705:AGW:W:ESSA:GND:
ESSA_W_TWR:Arlanda Tower:118.505:TW:W:ESSA:TWR:
ESSB_APP:Stockholm Approach:120.155:S::ESSB:APP:
ESSB_GND:Bromma Ground:121.605:SBG::ESSB:GND:
ESSB_TWR:Bromma Tower:118.105:SB::ESSB:TWR:
ESSD_TWR:Borlänge Tower:127.305:SD::ESSD:TWR:
ESSL_TWR:Saab Tower:118.805:SL::ESSL:TWR:
ESSP_APP:Östgöta Approach:132.955:OKC::ESSP:APP:
ESSP_TWR:Kungsängen Tower:120.355:SP::ESSP:TWR:
ESSR_CTR:RTC Stockholm:130.900:RTC::ESSR:CTR:
ESST_I_TWR:Torsby Information:122.055:ST:I:ESST:TWR:
ESSU_I_TWR:Eskilstuna Information:126.855:SU:I:ESSU:TWR:
ESSV_APP:Visby Approach:126.155:SVA::ESSV:APP:
ESSV_TWR:Visby Tower:120.305:SV::ESSV:TWR:
ESTA_APP:Ängelholm Approach:132.455:TAA::ESTA:APP:
ESTA_TWR:Ängelholm Tower:127.105:TA::ESTA:TWR:
ESTL_APP:Ljungbyhed Approach:129.555:TLA::ESTL:APP:
ESTL_GND:Ljungbyhed Ground:121.655:TLG::ESTL:GND:
ESTL_TWR:Ljungbyhed Tower:130.705:TL::ESTL:TWR:
ESUP_I_TWR:Pajala Information:118.380:UP:I:ESUP:TWR:
ESUT_I_TWR:Hemavan Information:122.980:UT:I:ESUT:TWR:
